VehicleType  travelTime  travelDistance  emptyTimeShare   emptyDistanceShare
defaultVehicleType  -47518.0   39000.0   -0.0   0.0
defaultVehicleType  -35950.0   19000.0   -0.0   0.0
defaultVehicleType  -43926.0   23000.0   -0.0   0.0
defaultVehicleType  -43384.0   31000.0   -0.0   0.0
defaultVehicleType  -48998.0   23000.0   -0.0   0.0
defaultVehicleType  -38058.0   23000.0   -0.0   0.0
defaultVehicleType  -36978.0   19000.0   -0.0   0.0
defaultVehicleType  -39710.0   23000.0   -0.0   0.0
defaultVehicleType  -35503.0   19000.0   -0.0   0.0
defaultVehicleType  -36978.0   23000.0   -0.0   0.0
defaultVehicleType  -34930.0   19000.0   -0.0   0.0
defaultVehicleType  -39710.0   23000.0   -0.0   0.0
heavy  -27360.0   27000.0   -0.0   0.0
defaultVehicleType  -37974.0   19000.0   -0.0   0.0
defaultVehicleType  -48744.0   27000.0   -0.0   0.0
defaultVehicleType  -45594.0   27000.0   -0.0   0.0
defaultVehicleType  -44569.0   27000.0   -0.0   0.0
defaultVehicleType  -45745.0   23000.0   -0.0   0.0
defaultVehicleType  -44302.0   27000.0   -0.0   0.0
defaultVehicleType  -47545.0   27000.0   -0.0   0.0
defaultVehicleType  -49039.0   27000.0   -0.0   0.0
defaultVehicleType  -48625.0   27000.0   -0.0   0.0
heavy  -27996.0   35000.0   -0.0   0.0
defaultVehicleType  -47816.0   27000.0   -0.0   0.0
heavy  -17330.0   31000.0   -0.0   0.0
heavy  -27142.0   35000.0   -0.0   0.0
defaultVehicleType  -36978.0   19000.0   -0.0   0.0
heavy  -24840.0   31000.0   -0.0   0.0
defaultVehicleType  -41960.0   23000.0   -0.0   0.0
heavy  -24468.0   35000.0   -0.0   0.0
defaultVehicleType  -38527.0   19000.0   -0.0   0.0
heavy  -22546.0   23000.0   -0.0   0.0
defaultVehicleType  -39407.0   19000.0   -0.0   0.0
heavy  -26079.0   39000.0   -0.0   0.0
defaultVehicleType  -42674.0   27000.0   -0.0   0.0
heavy  -29125.0   23000.0   -0.0   0.0
defaultVehicleType  -41083.0   23000.0   -0.0   0.0
heavy  -29386.0   43000.0   -0.0   0.0
defaultVehicleType  -42674.0   19000.0   -0.0   0.0
defaultVehicleType  -42314.0   19000.0   -0.0   0.0
defaultVehicleType  -42278.0   19000.0   -0.0   0.0
defaultVehicleType  -42523.0   19000.0   -0.0   0.0
defaultVehicleType  -46753.0   31000.0   -0.0   0.0
defaultVehicleType  -46784.0   31000.0   -0.0   0.0
defaultVehicleType  -48224.0   27000.0   -0.0   0.0
defaultVehicleType  -41917.0   27000.0   -0.0   0.0
defaultVehicleType  -47144.0   23000.0   -0.0   0.0
defaultVehicleType  -52323.0   27000.0   -0.0   0.0
defaultVehicleType  -38640.0   23000.0   -0.0   0.0
defaultVehicleType  -47144.0   27000.0   -0.0   0.0
defaultVehicleType  -46644.0   31000.0   -0.0   0.0
defaultVehicleType  -39343.0   19000.0   -0.0   0.0
defaultVehicleType  -40980.0   19000.0   -0.0   0.0
defaultVehicleType  -43385.0   23000.0   -0.0   0.0
defaultVehicleType  -46805.0   31000.0   -0.0   0.0
defaultVehicleType  -36775.0   23000.0   -0.0   0.0
defaultVehicleType  -41945.0   23000.0   -0.0   0.0
defaultVehicleType  -41945.0   23000.0   -0.0   0.0
defaultVehicleType  -43385.0   23000.0   -0.0   0.0
defaultVehicleType  -42665.0   23000.0   -0.0   0.0
defaultVehicleType  -46805.0   31000.0   -0.0   0.0
defaultVehicleType  -43457.0   23000.0   -0.0   0.0
heavy  -27843.0   35000.0   -0.0   0.0
heavy  -25953.0   43000.0   -0.0   0.0
