VehicleId	VehicleType	CarrierId	DriverID	travelTime	travelDistance	cost
freight_4_veh_carrier_4_heavyVehicle_0	heavy	4	freight_4_veh_carrier_4_heavyVehicle_0	-27024.0	27000.0	-2746.6739999999995
freight_21_veh_carrier_21_heavyVehicle_1	heavy	21	freight_21_veh_carrier_21_heavyVehicle_1	-25200.0	35000.0	-3451.490000000001
freight_21_veh_carrier_21_heavyVehicle_2	heavy	21	freight_21_veh_carrier_21_heavyVehicle_2	-28439.0	31000.0	-3744.2300000000005
freight_21_veh_carrier_21_heavyVehicle_0	heavy	21	freight_21_veh_carrier_21_heavyVehicle_0	-26640.0	31000.0	-3169.3979999999992
freight_16_veh_carrier_16_heavyVehicle_0	heavy	1	freight_16_veh_carrier_16_heavyVehicle_0	-26539.0	31000.0	-2881.1500000000005
freight_16_veh_carrier_16_heavyVehicle_2	heavy	1	freight_16_veh_carrier_16_heavyVehicle_2	-28488.0	27000.0	-2903.6500000000005
freight_16_veh_carrier_16_heavyVehicle_1	heavy	1	freight_16_veh_carrier_16_heavyVehicle_1	-28648.0	43000.0	-6299.402
freight_32_veh_carrier_32_heavyVehicle_3	heavy	3	freight_32_veh_carrier_32_heavyVehicle_3	-23801.0	27000.0	-1735.8260000000002
freight_32_veh_carrier_32_heavyVehicle_4	heavy	3	freight_32_veh_carrier_32_heavyVehicle_4	-20637.0	27000.0	-1325.8020000000001
freight_32_veh_carrier_32_heavyVehicle_1	heavy	3	freight_32_veh_carrier_32_heavyVehicle_1	-29277.0	35000.0	-4739.146000000001
freight_32_veh_carrier_32_heavyVehicle_2	heavy	3	freight_32_veh_carrier_32_heavyVehicle_2	-30910.0	39000.0	-3802.6380000000013
freight_32_veh_carrier_32_heavyVehicle_0	heavy	3	freight_32_veh_carrier_32_heavyVehicle_0	-24195.0	23000.0	-1941.3099999999997
freight_16_veh_carrier_16_heavyVehicle_4	heavy	1	freight_16_veh_carrier_16_heavyVehicle_4	-28578.0	39000.0	-5213.566000000001
freight_16_veh_carrier_16_heavyVehicle_3	heavy	1	freight_16_veh_carrier_16_heavyVehicle_3	-29059.0	39000.0	-3940.1580000000013
freight_19_veh_carrier_19_heavyVehicle_0	heavy	1	freight_19_veh_carrier_19_heavyVehicle_0	-25434.0	31000.0	-2870.246
freight_19_veh_carrier_19_heavyVehicle_2	heavy	1	freight_19_veh_carrier_19_heavyVehicle_2	-32372.0	47000.0	-7274.99
freight_19_veh_carrier_19_heavyVehicle_1	heavy	1	freight_19_veh_carrier_19_heavyVehicle_1	-26774.0	31000.0	-3081.334
